,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
1,411285,21,1er Arrondissement,33%,100%,Entire home/apt,26,100.0,"['email', 'phone']",1 bath,1000.0,Clementine,77104,1.0,bath,77104
2,660135,121,5e Arrondissement,31%,82%,Entire home/apt,21,80.0,"['email', 'phone']",1 bath,1000.0,Polali,134539,1.0,bath,134539
3,668524,2,3e Arrondissement,0%,100%,Entire home/apt,16,99.0,"['email', 'phone']",1 bath,1000.0,Nathalie,136556,1.0,bath,136556
4,670404,20,6e Arrondissement,25%,100%,Entire home/apt,30,88.0,"['email', 'phone']",1 bath,1000.0,Sandrine,137132,1.0,bath,137132
5,832917,358,1er Arrondissement,95%,100%,Entire home/apt,39,160.0,"['phone', 'work_email']",1 bath,1000.0,Giuseppina,174304,1.0,bath,174304
6,1221417,223,5e Arrondissement,100%,100%,Entire home/apt,16,52.0,"['email', 'phone']",1 bath,575.0,Max,233372,1.0,bath,233372
7,1308521,22,7e Arrondissement,8%,100%,Entire home/apt,24,210.0,"['email', 'phone']",1 bath,1000.0,Anaïs,249711,1.0,bath,249711
8,1319577,3,1er Arrondissement,50%,100%,Entire home/apt,39,40.0,"['email', 'phone']",1 bath,1000.0,Emmanuel,251630,1.0,bath,251630
11,1683652,21,3e Arrondissement,100%,100%,Entire home/apt,34,75.0,"['email', 'phone']",2 baths,1000.0,NATHALIE Et ALAIN,329950,2.0,baths,329950
12,1738855,267,3e Arrondissement,100%,100%,Entire home/apt,59,155.0,"['email', 'phone']",1.5 baths,1000.0,Yoann & Ida,342674,1.5,baths,342674
13,1769157,419,5e Arrondissement,75%,100%,Entire home/apt,15,90.0,"['email', 'phone']",1 bath,1000.0,Jacques,349150,1.0,bath,349150
14,1848025,153,1er Arrondissement,98%,100%,Entire home/apt,21,70.0,"['email', 'phone']",1 bath,930.0,Anne-Marie,365998,1.0,bath,365998
16,718463,70,1er Arrondissement,100%,100%,Entire home/apt,53,90.0,"['email', 'phone', 'work_email']",1 bath,1000.0,"Lionel, Layla & Samuel",387453,1.0,bath,387453
17,2013310,575,2e Arrondissement,93%,89%,Entire home/apt,40,79.0,"['email', 'phone']",1 bath,1000.0,Boris,403747,1.0,bath,403747
19,2711663,41,2e Arrondissement,100%,100%,Entire home/apt,52,119.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Julie Et Michael,551810,1.0,bath,551810
21,3038226,19,1er Arrondissement,92%,100%,Entire home/apt,37,70.0,"['email', 'phone']",1 bath,1000.0,Sophie,612551,1.0,bath,612551
22,885900,83,1er Arrondissement,100%,100%,Entire home/apt,33,100.0,"['email', 'phone']",1 bath,1000.0,Mat,614603,1.0,bath,614603
23,3103951,14,9e Arrondissement,59%,93%,Private room,24,70.0,"['email', 'phone']",1 shared bath,1000.0,Agnès,625569,1.0,shared bath,625569
24,3103951,14,9e Arrondissement,59%,93%,Private room,23,45.0,"['email', 'phone']",1 private bath,573.0,Agnès,625616,1.0,private bath,625616
25,1803736,205,6e Arrondissement,100%,100%,Entire home/apt,53,120.0,"['email', 'phone']",1.5 baths,1000.0,Lisa,626944,1.5,baths,626944
26,3165326,47,5e Arrondissement,97%,100%,Entire home/apt,23,102.0,"['email', 'phone']",1 bath,1000.0,Mila & Julien,635954,1.0,bath,635954
27,3469111,104,4e Arrondissement,94%,100%,Private room,14,47.0,"['email', 'phone']",1 private bath,516.0,Laurence,681291,1.0,private bath,681291
29,2771491,12,3e Arrondissement,63%,73%,Private room,13,41.0,"['email', 'phone']",1 shared bath,1000.0,Guillaume,687172,1.0,shared bath,687172
30,3560828,46,3e Arrondissement,100%,100%,Entire home/apt,32,97.0,"['email', 'phone']",1 bath,1000.0,Nicolas,695607,1.0,bath,695607
31,3715660,0,1er Arrondissement,100%,100%,Entire home/apt,57,57.0,"['email', 'phone']",1 bath,1000.0,Agnès,720121,1.0,bath,720121
32,3103951,17,9e Arrondissement,59%,93%,Private room,20,64.0,"['email', 'phone']",1 shared bath,737.0,Agnès,722905,1.0,shared bath,722905
33,3103951,3,9e Arrondissement,59%,93%,Private room,24,56.0,"['email', 'phone']",1 private bath,1000.0,Agnès,732722,1.0,private bath,732722
34,3922797,85,7e Arrondissement,73%,83%,Entire home/apt,41,120.0,"['email', 'phone']",2 baths,1000.0,Sylvain,747327,2.0,baths,747327
35,3649607,10,3e Arrondissement,50%,100%,Entire home/apt,43,145.0,"['email', 'phone']",1 bath,1000.0,Isabelle,756254,1.0,bath,756254
37,4041088,227,5e Arrondissement,97%,100%,Entire home/apt,59,243.0,"['email', 'phone']",2 baths,1000.0,Christine,766349,2.0,baths,766349
39,4156965,47,7e Arrondissement,96%,100%,Entire home/apt,36,49.0,"['email', 'phone']",1 bath,1000.0,Emilie,788756,1.0,bath,788756
40,4156965,38,7e Arrondissement,96%,100%,Entire home/apt,30,49.0,"['email', 'phone']",1 bath,1000.0,Emilie,788788,1.0,bath,788788
41,4156965,28,7e Arrondissement,96%,100%,Entire home/apt,27,56.0,"['email', 'phone']",1 bath,1000.0,Emilie,788841,1.0,bath,788841
42,4177871,94,8e Arrondissement,100%,100%,Entire home/apt,40,70.0,"['email', 'phone']",1 bath,1000.0,Willi Danelzik,792903,1.0,bath,792903
43,1271050,31,3e Arrondissement,83%,90%,Entire home/apt,34,60.0,"['email', 'phone']",1 bath,1000.0,Stéphane,795316,1.0,bath,795316
45,4258974,132,4e Arrondissement,81%,100%,Entire home/apt,13,65.0,"['email', 'phone']",1 bath,1000.0,Stéphanie,809514,1.0,bath,809514
46,3245274,7,3e Arrondissement,20%,100%,Entire home/apt,10,90.0,"['email', 'phone']",1 bath,879.0,Anton,814300,1.0,bath,814300
47,4283369,318,1er Arrondissement,99%,100%,Entire home/apt,28,66.0,"['email', 'phone']",1 bath,1000.0,Line,815342,1.0,bath,815342
49,4303075,48,6e Arrondissement,100%,100%,Private room,27,66.0,"['email', 'phone']",1 shared bath,1000.0,Alice,819294,1.0,shared bath,819294
50,4156965,30,3e Arrondissement,96%,100%,Entire home/apt,27,55.0,"['email', 'phone']",1 bath,1000.0,Emilie,822891,1.0,bath,822891
51,4355017,54,5e Arrondissement,73%,100%,Entire home/apt,39,72.0,"['email', 'phone']",1 bath,1000.0,Marc,831713,1.0,bath,831713
52,4360204,60,6e Arrondissement,100%,100%,Entire home/apt,21,51.0,"['email', 'phone']",1 bath,1000.0,Thierry,833115,1.0,bath,833115
53,3548058,10,2e Arrondissement,100%,100%,Entire home/apt,41,180.0,"['email', 'phone']",1 bath,1000.0,Labourselyon,845068,1.0,bath,845068
56,4634428,151,3e Arrondissement,67%,100%,Entire home/apt,36,240.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Anthony (& Claire),877193,2.0,baths,877193
57,4829230,31,6e Arrondissement,100%,100%,Entire home/apt,42,220.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Carole,903331,2.0,baths,903331
58,4829230,1,6e Arrondissement,100%,100%,Entire home/apt,19,90.0,"['email', 'phone', 'work_email']",2 baths,666.0,Carole,903333,2.0,baths,903333
59,4890321,43,7e Arrondissement,50%,100%,Entire home/apt,35,150.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Karine,911363,1.0,bath,911363
60,4156965,28,7e Arrondissement,96%,100%,Entire home/apt,26,59.0,"['email', 'phone']",1 bath,1000.0,Emilie,911577,1.0,bath,911577
61,4890321,7,7e Arrondissement,50%,100%,Private room,24,56.0,"['email', 'phone', 'work_email']",1 shared bath,1000.0,Karine,911789,1.0,shared bath,911789
62,4962068,119,1er Arrondissement,88%,100%,Entire home/apt,40,350.0,"['email', 'phone']",1 bath,1000.0,Sophie,922833,1.0,bath,922833
63,5018632,29,1er Arrondissement,61%,100%,Private room,19,33.0,"['email', 'phone']",1 shared bath,1000.0,Barthelemy,931623,1.0,shared bath,931623
64,2827977,136,8e Arrondissement,78%,100%,Private room,37,58.0,"['email', 'phone']",1.5 baths,1000.0,Nathalie,934758,1.5,baths,934758
65,5117719,19,8e Arrondissement,82%,100%,Entire home/apt,27,50.0,"['email', 'phone']",1 bath,976.0,Cecile,944927,1.0,bath,944927
66,43823,54,6e Arrondissement,63%,80%,Entire home/apt,15,50.0,"['email', 'phone']",1 bath,1000.0,Regis,970954,1.0,bath,970954
67,5377248,30,2e Arrondissement,88%,100%,Entire home/apt,33,68.0,"['email', 'phone']",1 bath,429.0,Frédéric,984652,1.0,bath,984652
68,5313130,189,1er Arrondissement,0%,0%,Private room,14,39.0,"['email', 'phone']",1 private bath,767.0,Aurélien,993188,1.0,private bath,993188
69,5536467,99,3e Arrondissement,83%,80%,Entire home/apt,41,299.0,"['email', 'phone']",1 bath,1000.0,Jp,1006613,1.0,bath,1006613
70,4154906,420,1er Arrondissement,100%,100%,Entire home/apt,14,101.0,"['email', 'phone']",1 bath,301.0,Marie,1041201,1.0,bath,1041201
71,1807311,2,1er Arrondissement,14%,100%,Entire home/apt,9,75.0,"['email', 'phone']",1 bath,1000.0,Gilles,1055532,1.0,bath,1055532
72,6207229,354,7e Arrondissement,80%,90%,Entire home/apt,7,45.0,"['email', 'phone']",1 bath,1000.0,Nicolas,1131474,1.0,bath,1131474
74,6254366,308,7e Arrondissement,100%,100%,Entire home/apt,41,40.0,"['email', 'phone']",1 bath,955.0,Hubert,1140466,1.0,bath,1140466
75,6270808,9,5e Arrondissement,100%,100%,Entire home/apt,10,110.0,"['email', 'phone']",2 baths,1000.0,Benoit,1143697,2.0,baths,1143697
76,6489905,0,1er Arrondissement,0%,0%,Private room,10,85.0,['email'],1 bath,883.0,Cécile,1186824,1.0,bath,1186824
77,3308962,27,6e Arrondissement,95%,100%,Entire home/apt,24,68.0,"['email', 'phone']",1 bath,1000.0,Alain,1187078,1.0,bath,1187078
78,6520034,16,3e Arrondissement,96%,100%,Private room,30,30.0,"['email', 'phone']",1 shared bath,314.0,Gisele,1193019,1.0,shared bath,1193019
80,6566071,17,4e Arrondissement,46%,100%,Entire home/apt,18,55.0,"['email', 'phone']",1 bath,1000.0,Lydia,1206759,1.0,bath,1206759
81,6772488,166,1er Arrondissement,95%,100%,Entire home/apt,32,75.0,"['email', 'phone']",1 bath,1000.0,Fabrice,1242531,1.0,bath,1242531
84,6859895,315,5e Arrondissement,100%,100%,Entire home/apt,41,119.0,"['email', 'phone']",1 bath,40.0,Catherine,1259680,1.0,bath,1259680
85,6894253,53,2e Arrondissement,0%,100%,Entire home/apt,24,86.0,"['email', 'phone']",1 bath,1000.0,Olivier,1266483,1.0,bath,1266483
